postUrl,username,pubDate,description,query
https://www.instagram.com/p/CUuSz40F49j/,giovannaphotography,2021-10-07T10:02:47.000Z,"My happy Day , 21 years Anniversary 🌹250 red roses from my best friend, lover and husband 🙏🏽 Its the little things in Life that are the big things’  #happyanniversary #happiness #roses #joy #celebratethejoy",#happiness
https://www.instagram.com/p/CUuKrCpF8SX/,shahramjn,2021-10-07T08:51:40.000Z,"آیا شما یک ""منتظر"" همیشگی هستید؟ چه مدت از زندگی خود را به انتظار کشیدن می گذرانید؟ انتظار برای تعطیلات بعدی، شغل بهتر، بزرگ شدن بچه ها، یک رابطه پرمعنا، موفقیت، پولدار شدن، مهم شدن یا روشن بین شدن. چندان نامتعارف نیست که اشخاص همه عمر را به انتظار شروع زندگی سپری کنند. 

انتظار، یک حالت ذهنی ست و در اصل به این معناست که شما آینده را می خواهید و اکنون را نمی خواهید. آنچه را دارید نمی خواهید و آنچه را ندارید می خواهید. با هر نوع انتظار، ناآگاهانه تضادی درونی بین اکنون و اینجا، یعنی جایی که نمی خواهید باشید با آینده فرافکنی شده خود، یعنی جایی که می خواهید باشید، ایجاد می کنید. این نگرش موجب می شود ""حال"" حاضر را از دست بدهید و کیفیت زندگی شما به شدت کاهش یابد !

✍ #اکهارت_تول

#كتاب #كتاب_قدرت_اکنون #کتابخوانی #زندگی_سالم #زندگی_شاد  #زندگی_موفق #شادی #شادزیستن #شادمانی #اینستاگرام #مطالعه #طنزنویس #شهرام_جوادی_نژاد #اصفهان #حال_خوب #ایران 

 #happiness #esfahan #iran",#happiness
https://www.instagram.com/p/CUuA8O2IcZM/,nature.by.agnes,2021-10-07T07:26:38.000Z,DOOA Paluda 60 from above💚Have a wonderful Thursday👋🏻👋🏻🍀#aquascaping #terrascaping #terra #plants #plantlover #plantslover #plantsplantsplants #selaginella #selaginellauncinata #begoniachinadoll #begonia #green #plantsmakemesmile #positivity #botanica #pflanzen #happiness #plantsathome #jungleathome #inside #zen #myzen,#happiness
https://www.instagram.com/p/CUuT5bAB0Eh/,bungalowlivingbali,2021-10-07T10:12:17.000Z,"Home to 250 red roses 🌹 from my best friend , husband and love of my life 🙏🏽 Happy Anniversary  of 21 years , still smiling , still joy and happiness in my Life #happyanniversary #happiness #joy #bestfriend #roses",#happiness
https://www.instagram.com/p/CUuALI6Mog3/,kangaroo_traveller,2021-10-07T07:19:56.000Z,"Walking into winter like...

Top of 21c most of this week. I think I'm especially grateful for my decision to move back to Toulouse. Andorra already has snow. 🤣
.
.
.
#warmerclimes #winteriscoming #light #goodmorning #morninglight #softlight #toulouse #france #lavillerose #happiness #travel #travelwriter #aussieintoulouse",#happiness
https://www.instagram.com/p/CUt14_rJ7Qj/,matrimoniocom,2021-10-07T05:50:05.000Z,"Love you to the moon and back 🌔♥️ 
​​.
​.
​.
​📸 Fotografo: @dario_graziani_photographer
📹 Video: @fulviogrecofilms
​
​#couple #couplegoals #happiness ​​#matrimonio #nozze #sposa #sposo #wedding #sposi #love #amore​ #matrimoniocom #nozze2021 #matrimonio2021 #sposi2021",#happiness
https://www.instagram.com/p/CUtqb4zjLCD/,sayali_rsg,2021-10-07T04:09:59.000Z,"Happy Navratri my Instagram Family 🙏🎉🎉

Yellow colour - 

The festival of Navratri begins with the worship  of Goddess Durga, which is Mata Shailputri- the daughter of the mountains. The day is associated with yellow colour which is said to bring brightness, happiness, and cheer in our lives. Shailputri symbolises Mother nature and her favourite flower is Jasmine. 

#navratri #firstday #navratrifestival #festivevibes #festivewear #traditionalattire #oldpic #weddingpic #naturalbeauty #nomakeup #yellowcolor #yellowdress #brightness #happylife #happiness #goddess #durgamaa #devi #jasmine #festivecollection #festivalofcolours #festivalfashion #lemonyellow",#happiness
https://www.instagram.com/p/CUtsuh2hrwn/,_soulsoothers_,2021-10-07T04:30:00.000Z,"Drop a ❤️ if you felt this message!

Follow 👉@_soulsoothers_
For spiritual advice, wisdom, positivity and good vibes 👼🌱
#_soulsoothers_",#happiness
https://www.instagram.com/p/CUt0sHWMQgN/,klonkloyn,2021-10-07T05:39:35.000Z,"Hank makes me happy 💛

#VickyHank #hank_bullterrier_magviktwins #ebt #englishbullterrier #bullterrier #autumn #autumninthecity #happiness #lovemydog #instadog #bullterrierlove #love #happytogether #бультерьер #осень #люблюсвоюсобаку",#happiness
https://www.instagram.com/p/CUuevojIMDP/,supreme_technologies,2021-10-07T11:47:04.000Z,"9 days of prayers, 9 nights of joy, Navratri is here.
May this festival be the harbinger of joy and prosperity. Let us worship her and seek her blessings to become better persons.
⠀
Supreme technologies wishes you all a very Happy Navratri
.
.
#SupremeTechnologies #ST #navratri2021 #navratrispecial #navratri #goddess #maadurga #blessings #9days #divine #prayers #specialday #pooja #blessed #spirituality #happiness #love #peace #jaimatadi #goddess #rituals #shower #blessings #family #ninedaysofmaa #happynavratri #god #prayers #goodvibes #joy #happy",#happiness
